
	0	-40.0	-40.0
	0.3	-39.2	-36.8
	0.6	-36.8	-35.8
	0.9	-34.6	-33.8
	1.2	-35.0	-33.8
	1.5	-37.4	-32.2
	1.8	-33.2	-31.6
	2.1	-31.4	-31.4
	2.4	-33.0	-30.8
	2.7	-30.4	-30.4
	3	-29.8	-29.4

	0	-35.6	-35.6
	0.3	-37.0	-41.4
	0.6	-38.6	-42.0
	0.9	-39.0	-40.8
	1.2	-42.2	-40.0
	1.5	-43.4	-38.4
	1.8	-45.2	-37.0
	2.1	-44.6	-35.8
	2.4	-45.0	-35.6
	2.7	-48.6	-35.4
	3	-47.4	-34.8

	0	-41.2	-41.2
	0.3	-39.4	-37.6
	0.6	-38.4	-38.2
	0.9	-38.6	-38.4
	1.2	-38.2	-38.6
	1.5	-38.0	-36.0
	1.8	-39.0	-39.2
	2.1	-40.6	-36.0
	2.4	-39.6	-38.0
	2.7	-41.0	-38.8
	3	-42.2	-37.2

	0	-36.0	-36.0
	0.3	-37.2	-39.0
	0.6	-38.4	-38.2
	0.9	-39.4	-37.6
	1.2	-40.4	-37.2
	1.5	-41.4	-36.8
	1.8	-42.0	-36.0
	2.1	-42.6	-35.6
	2.4	-43.4	-35.2
	2.7	-44.0	-34.6
	3	-45.4	-34.8
			
